"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","gene_id"
"ENSMUSG00000032380.4",3770.48765610338,8.75367603571079,0.434491502285591,6.40797026209522e-91,7.7273818439299e-89,"Dapk2","ENSMUSG00000032380"
"ENSMUSG00000032591.11",202.535041436515,12.2859877715009,3.00601897977116,4.60544113529679e-13,6.54640096449144e-12,"Mst1","ENSMUSG00000032591"
"ENSMUSG00000032656.10",7902.34470641376,8.32210848209166,0.343576489425139,2.36433962631882e-131,5.35140993575423e-129,"Marchf3","ENSMUSG00000032656"
"ENSMUSG00000032717.10",95.6232175794075,-9.10160053182939,3.01819066402126,1.22195310386209e-07,1.05439144070493e-06,"Mdfi","ENSMUSG00000032717"
"ENSMUSG00000033207.6",113.769898601582,-9.8686528116269,3.18867009356896,7.58575340624653e-08,6.71489796105289e-07,"Mamdc2","ENSMUSG00000033207"
"ENSMUSG00000033316.10",53.5616913449516,10.7967136511665,3.86812315844168,1.22434626782609e-05,7.75401734492355e-05,"Galnt9","ENSMUSG00000033316"
"ENSMUSG00000033565.12",114.225641023268,-9.91817671524852,3.10617507174945,1.30752485904612e-08,1.28071276473279e-07,"Rbfox2","ENSMUSG00000033565"
"ENSMUSG00000033590.7",115.378859307206,-9.93939520217145,3.08974906226603,8.14729819184764e-09,8.15394904751445e-08,"Myo5c","ENSMUSG00000033590"
"ENSMUSG00000033688.5",8210.85269472652,10.4849267656895,1.59992881642215,1.48214318892568e-12,2.03028776494177e-11,"Inhca","ENSMUSG00000033688"
"ENSMUSG00000033900.9",155.905508483438,-8.02901723143441,3.34184299471464,5.13225251812999e-05,0.00028514236800124,"Map9","ENSMUSG00000033900"
"ENSMUSG00000033910.9",160.419016590424,-9.97628445749101,3.06527758096346,3.611550105204e-09,3.7156031571861e-08,"Gucy1a1","ENSMUSG00000033910"
"ENSMUSG00000034059.9",21362.9608623034,13.730281532985,0.646789545704292,3.74738962890131e-102,5.35258215732001e-100,"Ypel4","ENSMUSG00000034059"
"ENSMUSG00000034394.10",135.086826795086,-10.1731304763313,3.37854818382426,3.64208124330024e-07,2.95544948987497e-06,"Lif","ENSMUSG00000034394"
"ENSMUSG00000034485.9",103.645694964267,-9.22795035127704,3.01031146994998,6.08625709271876e-08,5.44984871260367e-07,"Uaca","ENSMUSG00000034485"
"ENSMUSG00000034771.11",50.3763167864366,-8.11003026682243,3.12215365822856,1.19240693646448e-05,7.55824681140258e-05,"Tle2","ENSMUSG00000034771"
"ENSMUSG00000034825.9",1015.60101355525,13.8961277166299,2.74486818993803,1.63463671879225e-19,3.28984615689079e-18,"Nrip3","ENSMUSG00000034825"
"ENSMUSG00000035186.6",48.3157120524383,9.1218855068948,3.0294507833628,2.37089445588419e-06,1.70066305387461e-05,"Ubd","ENSMUSG00000035186"
